,index,RBU_SN,FAIL_Category
214,2908,EA2A133029,SMA_Repair
215,2936,EA2A133272,SMA_Repair
216,2939,EA2A133279,SMA_Repair
217,2966,EA2A131134,SMA_Repair
218,3083,EA2A134737,SMA_Repair
219,3086,EA2A134817,SMA_Repair
220,3089,EA2A134758,SMA_Repair
221,3092,EA2A134759,SMA_Repair
222,3188,EA2A134951,SMA_Repair
223,3189,EA2A134708,SMA_Repair
224,3192,EA2A134891,SMA_Repair
225,3195,EA2A134656,SMA_Repair
226,3198,EA2A135015,SMA_Repair
227,3220,EA2A135699,SMA_Repair
228,3223,EA2A135689,SMA_Repair
229,3226,EA2A134871,SMA_Repair
230,3303,EA2A136328,SMA_Repair
231,3306,EA2A136420,SMA_Repair
232,3333,EA2A136539,SMA_Repair
233,3334,EA2A136590,SMA_Repair
234,3335,EA2A136499,SMA_Repair
235,3336,EA2A136449,SMA_Repair
236,3367,EA2A136000,SMA_Repair
237,3370,EA2A135716,SMA_Repair
238,3371,EA2A135784,SMA_Repair
239,3374,EA2A135787,SMA_Repair
240,3375,EA2A135802,SMA_Repair
241,3378,EA2A135807,SMA_Repair
242,3381,EA2A135824,SMA_Repair
243,3400,EA2A135882,SMA_Repair
244,3403,EA2A135883,SMA_Repair
245,3406,EA2A135874,SMA_Repair
246,3409,EA2A135873,SMA_Repair
247,3418,EA2A135885,SMA_Repair
248,3455,EA2A135884,SMA_Repair
249,3463,EA2A137706,SMA_Repair
250,3466,EA2A137707,SMA_Repair
251,3467,EA2A137708,SMA_Repair
252,3470,EA2A137709,SMA_Repair
253,3519,EA2A136026,SMA_Repair
254,3526,EA2A131391,SMA_Repair
255,3541,EA2A131395,SMA_Repair
256,3544,EA2A131390,SMA_Repair
257,3547,EA2A131396,SMA_Repair
258,3550,EA2A131392,SMA_Repair
259,3551,EA2A135832,SMA_Repair
260,3554,EA2A135980,SMA_Repair
261,3557,EA2A136154,SMA_Repair
262,3608,EA2A136611,SMA_Repair
263,3612,EA2A137948,SMA_Repair
264,3622,EA2A137816,SMA_Repair
265,3625,EA2A137919,SMA_Repair
266,3628,EA2A137916,SMA_Repair
267,3629,EA2A137899,SMA_Repair
268,3630,EA2A137760,SMA_Repair
269,3633,EA2A137725,SMA_Repair
270,3664,EA2A138138,SMA_Repair
271,3693,EA2A137739,SMA_Repair
272,3695,EA2A138041,SMA_Repair
273,3704,EA2A137822,SMA_Repair
274,3766,EA2A138257,SMA_Repair
275,3767,EA2A138253,SMA_Repair
276,3768,EA2A138259,SMA_Repair
277,3769,EA2A138252,SMA_Repair
278,3770,EA2A138256,SMA_Repair
279,3803,EA2A137842,SMA_Repair
280,3874,EA2A138389,SMA_Repair
281,3875,EA2A138407,SMA_Repair
282,3876,EA2A138416,SMA_Repair
283,3877,EA2A138424,SMA_Repair
284,3878,EA2A138429,SMA_Repair
285,3879,EA2A138468,SMA_Repair
286,3880,EA2A138262,SMA_Repair
287,3881,EA2A138516,SMA_Repair
288,3882,EA2A138518,SMA_Repair
289,3883,EA2A138446,SMA_Repair
290,3884,EA2A138489,SMA_Repair
291,3885,EA2A138349,SMA_Repair
292,3985,EA2A139557,SMA_Repair
293,3986,EA2A139606,SMA_Repair
294,4011,EA2A139694,SMA_Repair
295,4012,EA2A139707,SMA_Repair
296,4034,EA2A139205,SMA_Repair
297,4042,EA2A139212,SMA_Repair
298,4043,EA2A139204,SMA_Repair
299,4046,EA2A139132,SMA_Repair
300,4047,EA2A139130,SMA_Repair
301,4059,EA2A139231,SMA_Repair
302,4060,EA2A139199,SMA_Repair
303,4063,EA2A139229,SMA_Repair
304,4066,EA2A139234,SMA_Repair
305,4067,EA2A139233,SMA_Repair
306,4068,EA2A139232,SMA_Repair
307,4069,EA2A139215,SMA_Repair
308,4070,EA2A139214,SMA_Repair
309,4071,EA2A139198,SMA_Repair
310,4072,EA2A139208,SMA_Repair
311,4073,EA2A139207,SMA_Repair
312,4077,EA2A139206,SMA_Repair
313,4144,EA2A139959,SMA_Repair
314,4299,EA2A140676,SMA_Repair
315,4300,EA2A140675,SMA_Repair
316,4309,EA2A140677,SMA_Repair
317,4421,EA2A140161,SMA_Repair
318,4422,EA2A140153,SMA_Repair
319,4423,EA2A140077,SMA_Repair
320,4424,EA2A140069,SMA_Repair
321,4425,EA2A140062,SMA_Repair
322,4426,EA2A140211,SMA_Repair
323,4428,EA2A139844,SMA_Repair
324,4491,EA2A142864,SMA_Repair
325,4492,EA2A142823,SMA_Repair
326,4493,EA2A142819,SMA_Repair
327,4505,EA2A141373,SMA_Repair
328,4506,EA2A141372,SMA_Repair
329,4507,EA2A141371,SMA_Repair
330,4508,EA2A141370,SMA_Repair
331,4509,EA2A141369,SMA_Repair
332,4510,EA2A141378,SMA_Repair
333,4511,EA2A141377,SMA_Repair
334,4512,EA2A141375,SMA_Repair
335,4513,EA2A143019,SMA_Repair
336,4514,EA2A142868,SMA_Repair
337,4515,EA2A142825,SMA_Repair
338,4516,EA2A142812,SMA_Repair
339,4523,EA2A142995,SMA_Repair
340,4529,EA2A142808,SMA_Repair
341,4536,EA2A142794,SMA_Repair
342,4537,EA2A142940,SMA_Repair
343,4547,EA2A142917,SMA_Repair
344,4548,EA2A142934,SMA_Repair
345,4550,EA2A142922,SMA_Repair
346,4558,EA2A143034,SMA_Repair
